소관 부처,자격종목,등급,자격관리자,공인유효기간(시작),공인유효기간(만료),기공인기간(시작),기공인기간(만료),설명
과학기술정보통신부,정보기술프로젝트관리전문가(IT-PMP),등급없음,대한정보통신기술(합),2021-09-30,2026-09-29,2009-09-30,2021-09-29,정보기술(IT) 프로젝트의 기획·일정·비용·품질·리스크 관리 등 프로젝트 전 생애 주기를 체계적으로 수행하는 역량을 검증하는 국가공인 민간자격이다.
과학기술정보통신부,RFID기술자격검정,"RFID-GL, RFID-SL",(사)한국지능형사물인터넷협회,2023-01-01,2027-12-31,2013-01-01,2022-12-31,IoT 기반 RFID(무선 주파수 식별) 시스템의 설계·구축·운영에 관한 전문 기술 역량을 RFID-GL·RFID-SL 등급으로 검증하는 국가공인 민간자격이다.
과학기술정보통신부,IEQ(인터넷윤리자격),지도사,한국생산성본부,2021-01-01,2025-12-31,2014-01-01,2020-12-31,"올바른 인터넷 사용 문화와 디지털 시민의식 함양을 지도할 수 있는 역량을 검증하는 국가공인 민간자격으로, 사이버 폭력 예방·저작권 보호·개인정보 보호 등 인터넷 윤리 교육 전문가를 양성한다."
과학기술정보통신부,데이터분석,"전문가, 준전문가",(재)한국데이터산업진흥원,2023-01-01,2027-12-31,2016-01-01,2022-12-31,빅데이터 수집·전처리·통계 분석·머신러닝·데이터 시각화 등 데이터 기반 의사결정 역량을 전문가·준전문가 등급으로 검증하는 국가공인 민간자격이다.
과학기술정보통신부,SW테스트전문가(CSTS),일반등급(Foundation Level),한국정보통신기술협회,2025-01-01,2028-12-31,2020-01-01,2024-12-31,"소프트웨어 개발 생명주기(SDLC)에서 테스트 기법 설계·결함 발견·품질 보증 프로세스를 수행하는 역량을 검증하는 국가공인 민간자격으로, ISO/IEC 29119 등 국제 표준 기반 테스트 전문가를 양성한다."
과학기술정보통신부,지능형홈관리사,등급없음,(사)한국정보통신자격협회,2024-01-01,2027-12-31,내용없음,내용없음,스마트홈 IoT 기기·홈네트워크 시스템·에너지 관리 장치의 설치·운영·유지관리 및 고객 서비스 역량을 검증하는 국가공인 민간자격이다.
과학기술정보통신부,AI CERTIFICATE FOR EVERYONE,Associate,주식회사 케이티ㆍ주식회사 한국경제신문,2025-01-01,2026-12-31,내용없음,내용없음,"인공지능(AI) 기술의 기초 개념 이해와 일상·업무에서의 AI 서비스 활용 능력을 평가하는 국가공인 민간자격으로, 비전문가도 AI 도구를 효과적으로 활용할 수 있는 디지털 역량을 검증한다."
법무부,디지털포렌식전문가,2급,(사)한국포렌식학회/한국인터넷진흥원,2022-12-17,2027-12-16,2012-12-17,2022-12-16,컴퓨터 스마트폰 등 다양한 디지털 기기에서 범죄 증거를 수집 복구 분석하여 법적 증거 자료로 만드는 전문가
행정안전부,정보시스템감리사,등급없음,한국지능정보사회진흥원,2021-02-17,2026-02-16,2001-01-02,2021-02-16,정보시스템의 개발·운영이 관련 법령·기준에 따라 적법하고 효율적으로 이루어지는지 점검·평가하는 감리 역량을 검증하는 국가공인 민간자격이다.
문화체육관광부,소프트웨어자산관리사(C-SAM),2급,(사)한국소프트웨어저작권협회,2023-01-13,2026-01-12,2015-01-13,2023-01-12,"소프트웨어 라이선스 계약 관리·저작권 보호·소프트웨어 자산 현황 파악 및 최적화 역량을 검증하는 국가공인 민간자격으로, 기업의 소프트웨어 컴플라이언스 관리를 담당하는 전문 인력을 양성한다."
산업통상자원부,산업보안관리사,등급없음,(사)한국산업기술보호협회,2022-01-01,2026-12-31,2017-01-01,2021-12-31,"기업의 핵심 기술·영업비밀·산업 정보 자산을 보호하기 위한 보안 정책 수립, 위협 탐지 및 대응 관리 역량을 검증하는 국가공인 민간자격이다."
특허청,지식재산능력시험,"1급, 2급, 3급, 4급",한국발명진흥회,2023-01-01,2027-12-31,2018-01-01,2022-12-31,"특허·실용신안·상표·디자인·저작권 등 지식재산권 전반의 법적·실무적 지식을 1∼4급으로 검증하는 국가공인 민간자격으로, 지식재산 창출·보호·활용을 담당하는 전문 인력을 양성한다."
