자격구분코드,자격구분명,계열명,종목명,설명
T,국가기술자격,기능사,침투비파괴검사기능사,침투탐상법을 이용하여 재료 표면의 결함을 파괴하지 않고 탐지·평가하는 비파괴검사 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,정보기기운용기능사,컴퓨터·통신 장비 등 각종 정보기기의 설치·운용·유지보수에 필요한 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,선체설계기능사,선박의 선체 구조를 도면으로 설계하고 CAD 프로그램을 활용하여 조선 설계 도면을 작성하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,선체건조기능사,선박 선체의 부재 절단·가공·조립·용접 등 선체 건조 현장에서 요구되는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,염색기능사(침염),직물이나 실을 염액에 담가 고르게 물들이는 침염 공정에 필요한 염색약품 조제·염색기 조작 등의 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,정보처리기능사,"컴퓨터 하드웨어·소프트웨어 기초 지식과 데이터 처리, 프로그래밍 초급 능력을 갖춘 IT 분야 입직 인력을 검증하는 국가기술자격이다."
T,국가기술자격,기능사,염색기능사(날염),직물 표면에 무늬를 인쇄하듯 색상을 입히는 날염 공정에 필요한 색상 배합·날염 기계 조작 등의 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,석공기능사,화강석·대리석 등 석재의 채취·가공·시공에 필요한 절단·다듬기·쌓기 등 석공 현장 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,철도토목기능사,철도 노반·궤도·교량 등 철도 토목 시설의 시공·유지보수에 필요한 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,전자계산기기능사,전자계산기(컴퓨터) 하드웨어 조립·점검·수리 및 기초 운용에 필요한 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,화학분석기능사,화학 실험실이나 품질 관리 현장에서 각종 화학 물질의 성분·함량을 분석하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,전자기능사,전자 부품의 특성 이해 및 전자 회로 설계·조립·측정·수리에 필요한 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,타일기능사,건축물 바닥·벽 등에 타일을 붙이는 타일 시공 작업에 필요한 재료 준비·줄눈 처리·마감 등 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,건축도장기능사,건축물 내·외부 벽면에 페인트·도료를 칠하는 도장 작업에 필요한 표면 처리·도장 기법 등의 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,유리시공기능사,건축물에 유리를 설치·접합·마감하는 유리 시공 작업에 필요한 재단·조립·방수 처리 등의 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,실내건축기능사,주거·상업 공간의 내부를 목적에 맞게 설계하고 인테리어 시공 작업을 수행하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,온수온돌기능사,바닥 난방용 온수 온돌 시스템의 배관 설치·열원 연결·시운전에 필요한 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,거푸집기능사,콘크리트 구조물 시공을 위해 거푸집을 제작·조립·해체하는 현장 작업에 필요한 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,비계기능사,건설 현장에서 작업자의 안전한 고소 작업을 위해 비계를 설치·해체·조립하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,방사선비파괴검사기능사,방사선(X선·γ선)을 이용하여 용접부나 재료 내부의 결함을 파괴하지 않고 탐지·평가하는 비파괴검사 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,지도제작기능사,측량 데이터를 바탕으로 지형도·주제도 등 각종 지도를 제작·편집하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,초음파비파괴검사기능사,초음파를 이용하여 재료나 용접부 내부의 결함을 파괴하지 않고 탐지·평가하는 비파괴검사 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,건설재료시험기능사,건설 현장에서 사용되는 콘크리트·아스팔트·골재·토양 등 건설 재료의 품질을 시험·측정하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,가구제작기능사,목재 등을 이용하여 가구를 설계·제작·조립·마감하는 현장 작업에 필요한 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,금속도장기능사,금속 제품 표면에 방청·미관 목적의 도료를 도장하는 작업에 필요한 표면 처리·도장 기법 등의 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,조경기능사,공원·정원·가로수 등의 녹지 공간을 조성하고 식재·포장·구조물 시공 작업을 수행하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,도화기능사,항공사진·위성 영상 등을 판독하여 지형도를 작성하는 도화 작업에 필요한 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,지게차운전기능사,물류·제조·건설 현장에서 화물을 적재·운반하는 지게차를 안전하게 조작하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,롤러운전기능사,도로 공사 현장에서 지반·아스팔트 등을 다지는 롤러 장비를 안전하게 운전하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,양화장치운전기능사,항구나 선박에서 화물을 선적·하역하는 양화장치(데릭·크레인)를 안전하게 조작하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,승강기기능사,엘리베이터·에스컬레이터 등 승강기의 설치·점검·수리·유지보수에 필요한 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,화약취급기능사,광산·건설·화공 현장에서 화약류를 안전하게 저장·취급·발파하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,수산양식기능사,어류·패류·해조류 등 수산 생물을 양식하기 위한 사육·관리·수확 등 기초 현장 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,로더운전기능사,건설·광산 현장에서 토사·암석·원자재를 굴착·적재하는 로더 장비를 안전하게 운전하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,축산기능사,소·돼지·닭 등 가축의 사육·관리·위생 관리에 필요한 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,식육처리기능사,쇠고기·돼지고기 등 식육의 도축 후 발골·정형·포장 등 식육 처리 작업에 필요한 기초 위생 및 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,버섯종균기능사,표고·느타리·팽이 등 각종 버섯 재배에 사용되는 종균을 제조·배양·접종하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,기중기운전기능사,건설·항만·공장 현장에서 중량물을 들어 올려 이동시키는 기중기(크레인)를 안전하게 운전하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,굴착기운전기능사,건설·토목 현장에서 토사 굴착·정지·운반 작업을 수행하는 굴착기를 안전하게 운전하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,불도저운전기능사,건설·토목 현장에서 지반 정지·토사 밀기 작업을 수행하는 불도저를 안전하게 운전하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,산림기능사,산림의 조성·육성·보호·이용에 관한 식재·벌채·산불 예방 등 산림 현장 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,잠수기능사,수중 구조물 점검·시공·해양 조사 등을 위해 스쿠버 장비를 착용하고 잠수 작업을 수행하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,종자기능사,농작물 종자의 생산·선별·저장·발아 시험 등 종자 관련 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,지적기능사,토지의 경계·면적·위치를 조사·측량하여 지적 공부를 작성·관리하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,임업종묘기능사,산림 조성에 사용되는 수목 묘목을 생산·관리하는 임업 종묘 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,철근기능사,철근 콘크리트 구조물 시공을 위해 철근을 가공·조립·결속하는 현장 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,기계가공조립기능사,선반·밀링·드릴 등 공작 기계를 이용해 금속 부품을 가공하고 조립하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,공조냉동기계기능사,냉·난방·환기 공조 설비와 냉동 설비를 설치·운전·유지보수하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,금속재창호기능사,알루미늄·스틸 등 금속 재료로 창문·문틀 등 창호를 제작·설치하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,미장기능사,건축물 내·외벽면에 모르타르·석고 등을 바르고 마감 처리하는 미장 작업의 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,열처리기능사,금속 재료의 경도·강도·내마모성을 개선하기 위한 담금질·뜨임·소둔 등 열처리 공정 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,방수기능사,건축물 지붕·지하·욕실 등에 방수 재료를 시공하여 누수를 차단하는 방수 작업의 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,전산응용건축제도기능사,CAD 프로그램을 이용하여 건축 도면을 작성하는 건축 제도 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,조적기능사,벽돌·블록·석재 등을 쌓아 벽체를 시공하는 조적 작업에 필요한 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,측량기능사,토지·구조물의 위치·형상·면적을 측정하고 기록하는 측량 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,축로기능사,제철·제강·요업 등 고온 공정에 사용되는 로(爐)를 내화 재료로 쌓고 유지보수하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,농기계정비기능사,트랙터·이앙기·콤바인 등 농업 기계의 점검·수리·유지보수에 필요한 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,자동차정비기능사,자동차의 엔진·변속기·제동장치·전기장치 등을 점검·수리하는 기초 정비 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,주조기능사,금속을 녹여 주형에 부어 원하는 형상의 부품을 제조하는 주조 공정 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,자동차차체수리기능사,교통사고 등으로 손상된 자동차 차체를 판금·용접·교환하여 원래 형상으로 복원하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,금속재료시험기능사,금속 재료의 인장·경도·충격·피로 등 기계적 특성을 시험하여 품질을 평가하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,제선기능사,고로에서 철광석을 환원·용해하여 선철을 생산하는 제선 공정의 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,전산응용기계제도기능사,CAD 프로그램을 이용하여 기계 부품·설비의 도면을 작성하는 기계 제도 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,정밀측정기능사,마이크로미터·버니어캘리퍼스·게이지 등 정밀 측정 기기를 사용하여 기계 부품의 치수를 정확하게 측정하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,농기계운전기능사,트랙터·이앙기·경운기 등 농업 기계를 안전하게 운전하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,건축일반시공기능장,건축 시공 현장에서 목공·철근·거푸집·미장 등 건축 일반 시공 작업을 총괄·지도하는 최고 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,주조기능장,주물 공장에서 주조 공정 전반(용해·주형 제작·후처리)을 총괄하고 기능 인력을 지도하는 최고 수준의 주조 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,표면처리기능장,도금·산화·코팅 등 표면처리 공정 전반을 총괄하고 기능 인력을 지도하는 최고 수준의 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,자동차정비기능장,자동차 정비 현장에서 점검·수리·고장 진단을 총괄하고 정비 인력을 지도하는 최고 수준의 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,건설기계정비기능장,건설 기계 정비 현장에서 수리·진단을 총괄하고 정비 인력을 지도하는 최고 수준의 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,교통산업기사,도로·철도·항공 등 교통 수요 조사·계획 수립·운영 관리에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,어로산업기사,연안·원양 어선에서 어업 기술을 활용한 어획 작업 및 어로 장비 관리에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,철도차량정비기능장,철도 차량 정비 현장에서 기계·전기 장치 수리를 총괄하고 정비 인력을 지도하는 최고 수준의 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,금형기능장,사출·프레스 등 금형 제작 현장에서 금형 설계·가공·수리를 총괄하고 기능 인력을 지도하는 최고 수준의 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,배관기능장,배관 시공 현장에서 급수·난방·가스·소방 배관 설치를 총괄하고 기능 인력을 지도하는 최고 수준의 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,산업위생관리산업기사,작업 현장의 유해 요인(화학물질·소음·분진 등)을 측정·평가하고 근로자 건강 장해를 예방하는 산업위생 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,판금제관기능장,판금·제관 공장에서 강판 가공·제품 제작을 총괄하고 기능 인력을 지도하는 최고 수준의 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,용접기능장,용접 현장에서 다양한 용접 공정을 총괄하고 용접 인력을 지도하는 최고 수준의 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,폐기물처리산업기사,산업 폐기물의 수집·운반·처리·처분 방법을 설계하고 관리하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,포장산업기사,제품의 안전한 수송과 보관을 위한 포장 재료 선택·포장 방법 설계·품질 관리에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,제품디자인산업기사,공산품의 기능성·심미성·사용성을 고려한 제품 외관 및 형상을 디자인하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,공조냉동기계산업기사,냉·난방·환기 공조 및 냉동 설비를 설계·시공·운전·유지보수하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,화약류제조산업기사,화약·폭약·화공품의 제조 공정 설계 및 안전관리에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,실내건축산업기사,주거·상업 공간의 실내 환경을 기능적·심미적으로 설계하고 시공을 관리하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,정보처리산업기사,소프트웨어 개발·데이터베이스 관리·시스템 운영에 필요한 IT 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,건설재료시험산업기사,건설 현장에서 사용하는 콘크리트·아스팔트·토질 재료의 품질을 시험·평가하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,방사선비파괴검사산업기사,방사선을 이용한 비파괴검사를 계획·수행하고 결과를 분석하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,전산응용토목제도기능사,CAD 프로그램을 이용하여 도로·교량·댐 등 토목 구조물의 도면을 작성하는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,건축목재시공기능장,목조 건축물 시공 현장에서 목재 가공·구조 조립을 총괄하고 기능 인력을 지도하는 최고 수준의 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,초음파비파괴검사산업기사,초음파를 이용한 비파괴검사를 계획·수행하고 결과를 분석하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,침투비파괴검사산업기사,침투탐상법을 이용한 비파괴검사를 계획·수행하고 결과를 분석하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,기계가공기능장,CNC·범용 공작기계를 이용한 기계 부품 가공 현장에서 작업을 총괄하고 기능 인력을 지도하는 최고 수준의 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,가스기능장,LP가스·도시가스 설비 시공 현장에서 배관·기기 설치를 총괄하고 기능 인력을 지도하는 최고 수준의 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,전자기능장,전자 제품 제조·수리 현장에서 회로 설계·조립을 총괄하고 기능 인력을 지도하는 최고 수준의 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,소방설비산업기사(전기분야),자동화재탐지·경보·소화 설비의 전기 부문 설계·시공·점검에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,소음진동산업기사,산업 현장과 생활 환경의 소음·진동을 측정·분석하고 저감 대책을 수립하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,금속재료기능장,금속 재료 생산·열처리·품질 시험 현장에서 공정을 총괄하고 기능 인력을 지도하는 최고 수준의 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,제선기능장,고로 제선 공정 현장에서 작업을 총괄하고 기능 인력을 지도하는 최고 수준의 제선 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,제강기능장,전로·전기로 제강 공정 현장에서 작업을 총괄하고 기능 인력을 지도하는 최고 수준의 제강 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,압연기능장,압연 공장에서 판재·봉재·형재 생산 공정을 총괄하고 기능 인력을 지도하는 최고 수준의 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,소방설비산업기사(기계분야),스프링클러·소화 배관·소화전 등 소방 기계 설비의 설계·시공·점검에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,자기비파괴검사산업기사,자기탐상법을 이용한 비파괴검사를 계획·수행하고 결과를 분석하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능장,에너지관리기능장,보일러·열에너지 설비 운전 현장에서 에너지 관리를 총괄하고 기능 인력을 지도하는 최고 수준의 숙련 기능 인력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,농업기계산업기사,농업 기계의 설계·제작·정비·운용에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,사출금형산업기사,플라스틱 사출 금형의 설계·제작·수정에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,공조냉동기계기사,건물·산업 시설의 냉·난방·환기·냉동 설비를 설계하고 시공·유지보수를 관리하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,프레스금형산업기사,금속 판재를 프레스로 성형하는 프레스 금형의 설계·제작에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,철도차량산업기사,철도 차량의 기계·전기 시스템을 설계·점검·유지보수하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,소방설비기사(기계분야),스프링클러·소화 배관·소화전·포 소화 설비 등 소방 기계 설비의 설계·시공·감리에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,대기환경기사,대기 오염 원인 분석·방지 시설 설계·관련 법규 적용을 통해 대기 환경을 보전하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,용접산업기사,다양한 용접 공법의 설계·시공·품질 관리에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,가스기사,LP가스·도시가스·고압가스 설비를 설계·시공하고 안전관리 업무를 총괄하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,건축기사,건축물의 구조·설비·재료·시공 전반에 필요한 전문 지식을 바탕으로 설계 보조·시공 감리 업무를 수행하는 국가기술자격이다.
T,국가기술자격,기사,건축설비기사,건축물의 급·배수·난방·공조·전기 설비 시스템을 종합적으로 설계하고 감리하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,폐기물처리기사,산업 폐기물의 특성 분석·처리 공법 선정·처리 시설 운영 관리에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,기계조립산업기사,기계 부품을 도면에 따라 조립하고 조립 정밀도를 검사하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,축산기사,가축의 육종·번식·사양·위생 관리와 축산 경영 전반에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,임산가공기사,목재·목질 자원을 가공하여 합판·파티클보드·MDF 등 목재 제품을 제조하는 공정을 관리하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,식품안전기사,식품의 안전성 확보를 위한 위해 요소 분석(HACCP)·위생 관리·식품 안전 법규 적용에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,수산제조기사,수산물을 원료로 수산 가공식품을 제조하는 공정 설계·품질 관리·위생 관리를 종합적으로 수행하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,승강기기사,엘리베이터·에스컬레이터 등 승강기의 설계·설치·점검·유지보수를 총괄 관리하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,종자기사,농작물 종자의 육종·생산·품질 인증·유통 관리에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,포장기사,제품 보호와 물류 효율화를 위한 포장 시스템 설계·재료 선정·포장 기계 관리에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,제품디자인기사,공산품의 사용성·심미성·제조성을 고려한 제품 디자인을 개발하고 시제품을 제작하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,시설원예기사,시설(온실·비닐하우스) 내에서 채소·화훼·과수를 재배하고 환경 제어 시스템을 관리하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,바이오화학제품제조기사,바이오 기반 화학제품 제조 공정을 설계·최적화하고 품질을 관리하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기술사,폐기물처리기술사,폐기물 처리 시스템의 설계·감리·자문과 환경 정책 수립을 수행하는 최고 수준의 폐기물 처리 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,화약류관리기사,화약류의 구매·저장·운반·발파·폐기 전 과정을 안전하게 관리하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,산업위생관리기사,작업 환경 측정·유해 인자 평가·작업환경 개선 계획 수립을 통해 근로자 건강을 보호하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,해양공학기사,해양 구조물(해양 플랫폼·해저 파이프라인·항만 시설)의 설계·시공·유지관리에 필요한 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,광학기사,렌즈·광학 부품·광섬유 시스템을 설계하고 광학 기기의 성능을 분석·검증하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,산업안전기사,사업장의 유해·위험 요인을 평가하고 안전 관리 계획을 수립·실행하여 산업재해를 예방하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기사,건설안전기사,건설 현장의 위험 요인 분석·안전 대책 수립·안전 교육 실시로 재해를 예방하는 전문 지식과 실무 능력을 검증하는 국가기술자격이다.
